Groom_ID,Income,Land,EmploymentType,Profession,Dahej
G0001,99610,6.0,Private,Businessman,2196100
G0002,121753,6.6,Government,CA,3933171
G0003,25986,8.21,Government,CA,2947883
G0004,147966,6.32,Private,Doctor,3566758
G0005,53065,7.74,Government,CA,3221907
G0006,80481,7.75,Private,Businessman,2354810
G0007,44479,5.62,Government,Engineer,2510064
G0008,59496,0.07,Government,Lawyer,913440
G0009,103375,7.39,Private,Doctor,3265275
G0010,34805,2.42,Government,Doctor,1414485
G0011,63283,9.48,Private,Businessman,2528830
G0012,45391,3.77,Government,Businessman,1691074
G0013,114030,6.03,Private,Lawyer,2580930
G0014,141344,1.97,Private,Other,1807440
G0015,62147,4.37,Private,Businessman,1495470
G0016,43817,0.22,Private,CA,554495
G0017,29012,4.62,Private,Teacher,1214120
G0018,146204,6.48,Government,Teacher,3861255
G0019,39080,2.4,Government,CA,1349739
G0020,148810,1.2,Private,CA,1987314
G0021,53121,1.94,Private,Businessman,919210
G0022,108901,7.35,Private,CA,2942861
G0023,102194,1.71,Government,Lawyer,2045910
G0024,33408,6.32,Private,Businessman,1598080
G0025,39585,4.53,Private,Teacher,1301850
G0026,56234,0.7,Private,Other,702340
G0027,138453,4.71,Government,Doctor,3955101
G0028,67006,5.99,Government,Businessman,2615284
G0029,50327,9.97,Private,Lawyer,2746997
G0030,27368,3.88,Government,Engineer,1679487
G0031,136448,5.51,Government,Doctor,4193016
G0032,105473,3.84,Government,Engineer,2916367
G0033,105263,7.76,Government,Businessman,3646482
G0034,129332,1.55,Private,Businessman,1603320
G0035,33092,6.23,Private,Lawyer,1734612
G0036,135461,0.99,Private,Lawyer,1707871
G0037,59200,6.76,Private,Doctor,2527200
G0038,75345,2.38,Private,Other,1229450
G0039,87798,4.43,Private,Other,1763980
G0040,37644,0.67,Private,Lawyer,561484
G0041,94862,7.04,Private,CA,2710113
G0042,86652,4.71,Government,Businessman,2531928
G0043,93392,8.07,Government,Lawyer,3821880
G0044,83217,9.74,Private,Teacher,2780170
G0045,131693,1.52,Government,CA,2512441
G0046,121465,0.3,Government,CA,1975707
G0047,123351,3.75,Government,Businessman,2776914
G0048,93642,2.31,Private,Teacher,1398420
G0049,25216,8.06,Private,Engineer,2236992
G0050,141314,1.47,Private,CA,1963210
G0051,132115,7.25,Private,Other,2771150
G0052,54636,4.81,Government,Engineer,2413376
G0053,91739,8.71,Private,Businessman,2659390
G0054,102868,0.14,Private,CA,1215182
G0055,70854,0.28,Private,CA,879220
G0056,27271,9.94,Private,Teacher,2260710
G0057,66343,7.49,Government,Lawyer,3242145
G0058,143904,5.3,Government,Engineer,3998463
G0059,85812,3.58,Private,Lawyer,1731532
G0060,115299,3.82,Government,Doctor,3258883
G0061,51730,4.71,Government,Other,2043019
G0062,86268,5.37,Private,Other,1936680
G0063,34697,0.68,Government,Engineer,772751
G0064,64779,5.48,Government,Teacher,2441306
G0065,82361,2.52,Private,Doctor,1725893
G0066,57120,6.61,Private,Businessman,1893200
G0067,97411,9.12,Private,Doctor,3637543
G0068,87955,7.8,Government,Teacher,3415370
G0069,61298,6.39,Government,Teacher,2647372
G0070,72042,3.98,Private,Businessman,1516420
G0071,46641,0.46,Government,Engineer,893455
G0072,108312,3.26,Government,Engineer,2776192
G0073,95004,4.08,Private,Businessman,1766040
G0074,134597,8.66,Government,CA,4770853
G0075,119934,6.36,Government,CA,3830576
G0076,76291,0.93,Government,Teacher,1328474
G0077,140889,9.22,Private,Doctor,4228757
G0078,142359,4.26,Private,CA,2616928
G0079,114143,4.36,Private,Businessman,2013430
G0080,42363,5.47,Private,Doctor,1972919
G0081,21097,8.11,Private,Engineer,2199564
G0082,40665,4.01,Private,Lawyer,1329515
G0083,41542,8.34,Private,Lawyer,2291762
G0084,50617,1.26,Government,Lawyer,1137255
G0085,44253,2.0,Private,Teacher,842530
G0086,126468,2.64,Government,Teacher,2509752
G0087,69277,1.99,Private,Doctor,1418001
G0088,50191,1.89,Private,Other,879910
G0089,51258,2.78,Government,Businessman,1496012
G0090,135952,4.94,Government,Businessman,3286528
G0091,128604,9.77,Government,Businessman,4536056
G0092,108773,3.05,Private,Engineer,2037276
G0093,110471,4.74,Private,Teacher,2052710
G0094,92909,5.77,Government,Teacher,2916326
G0095,56422,8.23,Government,Teacher,3094308
G0096,108944,5.81,Private,Lawyer,2476584
G0097,125978,1.47,Government,Lawyer,2330670
G0098,82959,0.82,Government,Businessman,1391026
G0099,96812,3.73,Private,Teacher,1714120
G0100,147351,1.41,Private,Businessman,1755510
G0101,34935,4.82,Private,CA,1510352
G0102,95561,2.99,Government,CA,2408095
G0103,124056,8.99,Government,Teacher,4253984
G0104,55297,3.63,Government,Doctor,2174249
G0105,44157,0.47,Private,Businessman,535570
G0106,130022,3.45,Government,Other,2786308
G0107,80647,4.42,Private,Lawyer,1859517
G0108,123814,8.23,Private,Doctor,3749382
G0109,57864,4.88,Government,Businessman,2176496
G0110,22460,3.02,Government,Lawyer,1242900
G0111,34706,9.41,Government,Doctor,3789402
G0112,88044,4.9,Government,Doctor,3162748
G0113,144872,4.51,Private,Other,2350720
G0114,82500,0.88,Government,Doctor,1701700
G0115,107267,7.8,Private,CA,3027570
G0116,32050,1.55,Private,CA,725075
G0117,55662,2.16,Government,Other,1384068
G0118,80627,4.34,Government,Lawyer,2511405
G0119,34079,7.99,Government,Businessman,2714306
G0120,141041,5.83,Private,Teacher,2576410
G0121,72738,4.41,Government,Other,2253132
G0122,89062,5.08,Private,CA,2192613
G0123,48610,9.75,Private,Doctor,3166930
G0124,133163,3.88,Government,Businessman,2950682
G0125,149887,9.75,Government,CA,5345748
G0126,55131,0.68,Private,Doctor,893503
G0127,136303,6.47,Government,Lawyer,3985545
G0128,109405,0.24,Government,Other,1598870
G0129,60872,2.65,Government,Businessman,1594208
G0130,54599,4.41,Government,Businessman,1999185
G0131,63291,9.59,Government,Businessman,3571274
G0132,28331,9.67,Private,Other,2217310
G0133,46356,2.9,Private,Lawyer,1147916
G0134,78803,6.68,Private,Other,2124030
G0135,125938,8.83,Private,Doctor,3932994
G0136,51419,1.36,Private,Businessman,786190
G0137,111209,5.74,Private,Lawyer,2486099
G0138,43432,9.64,Private,Other,2362320
G0139,117798,9.01,Private,Teacher,2979980
G0140,26712,1.7,Government,Other,849968
G0141,51743,3.53,Government,Other,1712802
G0142,32011,7.46,Government,Doctor,3080587
G0143,90169,9.93,Private,Engineer,3465228
G0144,100985,9.72,Private,Other,2953850
G0145,77912,9.4,Private,Other,2659120
G0146,148149,3.26,Government,Doctor,3626933
G0147,85661,1.13,Government,Engineer,1732175
G0148,149635,3.76,Private,Engineer,2698020
G0149,104409,5.77,Private,Lawyer,2417899
G0150,70689,7.01,Government,Businessman,2952446
G0151,127280,7.29,Government,Other,3823119
G0152,20750,7.17,Private,Businessman,1641500
G0153,65997,3.3,Government,Doctor,2243949
G0154,58109,4.86,Government,Lawyer,2329635
G0155,86198,2.37,Government,Teacher,1870371
G0156,115736,9.71,Private,CA,3564263
G0157,123791,0.42,Government,Doctor,2247247
G0158,41880,6.69,Private,Engineer,2108160
G0159,45913,2.35,Government,CA,1440151
G0160,29042,6.25,Private,Lawyer,1694462
G0161,112524,6.48,Government,Lawyer,3631860
G0162,21571,3.64,Government,CA,1462750
G0163,62066,8.58,Private,Engineer,2803992
G0164,107585,0.74,Government,Businessman,1713390
G0165,34455,7.31,Private,Lawyer,1987205
G0166,141047,4.2,Private,Teacher,2250470
G0167,51119,9.76,Private,Doctor,3202147
G0168,92691,9.3,Private,Doctor,3622983
G0169,112728,0.14,Government,Other,1617392
G0170,144429,6.89,Private,CA,3245633
G0171,25635,5.43,Government,Businessman,1879289
G0172,40134,2.48,Private,Other,897340
G0173,125987,8.05,Government,Engineer,4591792
G0174,80487,7.33,Government,CA,3519848
G0175,99517,2.62,Government,Lawyer,2278755
G0176,20567,4.84,Private,Teacher,1173670
G0177,108814,8.52,Private,Businessman,2792140
G0178,126424,8.55,Private,Teacher,2974240
